codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
EQTI;;;;;;
EQTL;EQUATORIAL;EQTL3;03/04/2006;03.220.438/0001-73;Holding com participação em sociedades no setor de energia elétrica e saneamento.;ITAU CORRETORA ACOES
EQTN;EQUATORIAL 2;;26.845.497/0001-32;;;
EQTR;EQUATO 8 SPE;;27.967.244/0001-02;Explorar e operar a concessão de serviço público de transmissão de energia elétrica para a construção. montagem. operação e manutenção de instalações de transmissão;Não Classificados / Não Classificados / Não Classificado;EMPRESA
EQTS;;;26.845.650/0001-21;;;
EQUA;EQUATORIALTR;;23.520.790/0001-31;;;
ERDV;ECON;;08.873.873/0001-10;Serviços de apoio administrativo e de engenharia. exploração direta ou indireta de negócios de concessão de obras e serviços públicos.;Bens Industriais / Transporte / Exploração de Rodovias;ITAU CORRETORA ACOES
EREN;EREN DRACENA;;30.017.051/0001-97;;;
ERVE;VENTOSX;;15.253.350/0001-37;;;
ERVT;VENTOSIII;;15.321.146/0001-06;;;
ESAM;SAOMANUEL;;18.494.537/0001-10;;;
ESAN;;;;;;
ESB1;E1 SUBHOLDIN;;40.195.572/0001-98;;;
ESCE;ESCELSA;;28.152.650/0001-71;Distribuição de energia elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAUBANCO - ACOES
ESHD;E1SUBHOLDING;;43.409.450/0001-45;;;
ESPA;ESPACOLASER;ESPA3;01/02/2021;26.659.061/0001-59;Participação como sócia de sociedades empresárias que desenvolvam atividades de depilação. estética facial. capilar e corporal e a comercialização de produtos cosméticos e de cuidados corporais.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
ESPB;PROPERTYBR;;10.395.731/0001-37;;;
ESSD;ENERG SUL SU;;07.282.377/0001-20;A distribuição de energia elétrica de qualquer origem e natureza. podendo realizar outros serviços afins ou complementares relacionados ao seu objeto social.;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ESTE;USINAESTER;;60.892.098/0001-60;;;
ESTR;ESTRELA;ESTR4;28/06/1968;61.082.004/0001-50;Fabricação de Brinquedos e Jogos Recreativos;MANUFATURA DE BRINQUEDOS ESTRELA S.A.
ESVH;SERRADASVACA;;24.011.952/0001-79;;;
ESVP;;;;;;
ESVV;VACASV;;22.357.375/0001-46;;;
ETAL;;;;;;
ETAP;ETAPPOTIGUAR;;25.224.629/0001-46;;;
ETAU;ALTOURUGUAI;;05.063.249/0001-60;;;
ETBA;ETB - TRANSM;;24.870.961/0001-15;;;
ETCP;ETC;;08.474.754/0001-95;;;
ETEM;;;;;;
ETEN;ENERGISATRAN;;28.201.130/0001-01;Participação no capital de sociedades. na qualidade de sócia. quotista ou acionista. em especial naquelas que tenham como objetivo principal a exploração de serviço de transmissão de energia elétrica.;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ETEP;EMPRPARAENSE;;04.416.923/0001-80;;;
ETER;ETERNIT;ETER3;25/11/1948;61.092.037/0001-81;Industrialização e comercialização de telhas de fibrocimento. além de ter atuação na industrialização e comercialização de telhas de concreto e telhas solares. bem como outros materiais de construção.;ITAU CORRETORA ACOES
ETES;ETES;;08.600.252/0001-63;;;
ETHA;BKR ETHEREUM;ETHA39;;;;
ETMD;EOLICATAMAND;;14.571.068/0001-35;;;
ETRE;ESTREAMBIENT;;03.147.393/0001-59;;;
ETSP;EQUATO 7 SPE;;26.845.702/0001-60;Explorar e operar a concessão de serviço público de transmissão de energia elétrica para construção. montagem e manutenção de instalações de transmissão.;Não Classificados / Não Classificados / Não Classificado;EMPRESA
ETVG;VARZEAGRANDE;;12.385.102/0001-51;;;
EUBE;ENGIEUBERLAN;;36.030.967/0001-63;;;
EUCA;EUCATEX;EUCA4;20/08/1969;56.643.018/0001-66;Indústria e Comércio de chapas de fibra de madeira;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
EUFA;;;;;;
EVEN;EVEN;EVEN3;02/04/2007;43.470.988/0001-65;Construção. incorporação e loteamento.;ITAU CORRETORA ACOES
EVII;EOLICAVACAVI;;22.193.319/0001-13;;;
EVLZ;EVOLTZ PART;;28.037.759/0001-68;;;
EVOL;EVOLTZ IV;;07.114.999/0001-49;;;
EVTC;EVERTEC INC;EVTC31;;51.682.068/0001-39;;
EXAS;;;;;;
EXAT;;;;;;
EXCO;EXITO;EXCO32;;23.041.875/0001-37;Comércio Varejista.;
EXEI;;;;;;
EXTE;EXPANSION;;04.100.850/0001-12;;;
EXTZ;EXTREMOZ;;14.029.911/0001-56;;;
EZTC;EZTEC;EZTC3;22/06/2007;08.312.229/0001-73;(a) Incorporação e comercialização de empreendimentos imobiliários de qualquer natureza. (b) administração e locação de imóveis prórpios. (c) loteamento de terrenos. (d) construção de condomínios ...;ITAU CORRETORA ACOES
FABZ;FABZOSA;;14.863.079/0001-99;;;
FACL;FARO ENERGY;;31.191.534/0001-76;;;
FAMR;FABRIMARS.A.;;33.064.262/0001-79;;;
FARB;;;;;;
FARX;;;;;;
FASP;;;;;;
FATE;FATPART;;28.798.862/0001-20;;;
FAZE;;;;;;
FBRI;;;;;;
FBRX;;;;;;
FCCL;;;;;;
FCEF;ACEF;;46.722.831/0001-78;;;
FCMN;FAGUNDES CON;;90.272.337/0001-40;;;
FCTA;FACTACFI;;15.581.638/0001-30;;;
FEEN;FEENIX;;26.210.970/0001-05;;;
FELC;FORCAEOLICA;;12.227.426/0001-61;;;
FENS;FERROVNS;;09.257.877/0001-37;Empresa de logística e transporte ferroviário de carga. sob o regime de subconcessão.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
FESA;FERBASA;FESA4;01/01/1977;15.141.799/0001-03;Fabricação e comercialização dos diversos tipos de ferroligas;ITAU CORRETORA ACOES
FFLU;FLAFLU;;20.719.524/0001-44;;;
FFLV;;;;;;
FGEN;;;12.489.315/0001-23;construção. operação e exploração de potencial de energia hidráulica e comercialização ou utilização da energia elétrica produzida;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
FGRU;FGRURBANISMO;;09.046.621/0001-80;;;
FHER;FER HERINGER;FHER3;12/04/2007;22.266.175/0001-88;Produção. comercialização e distribuição de fertilizantes. com atuação nacional.;ITAU CORRETORA ACOES
FICS;FICSABM;;61.348.538/0001-86;;;
FIEI;FICA;FIEI3;23/04/2007;07.820.907/0001-46;Incorporação Imobiliária;ITAU CORRETORA ACOES
FIGE;INVEST BEMGE;FIGE4;12/02/1996;01.548.981/0001-79;Investimentos;ITAU CORRETORA ACOES
FIOS;;;;;;
FIQE;UNIFIQUE;FIQE3;27/07/2021;02.255.187/0001-08;Serviços de comunicação multimídia  SCM. instalação e manutenção elétrica e serviços de telefonia fixa comutada - STFC;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
FISI;;;;;;
FITE;FITESASA;;92.197.250/0001-81;;;
FITN;;;;;;
FLCL;ENERGISAMRIO;;19.527.639/0001-58;Concessionária de serviço público de distribuição de energia.;Utilidade Pública / Energia Elétrica / Energia Elétrica;EMPRESA
FLHA;FOLHALARGA I;;31.785.816/0001-00;;;
FLLH;;;;;;
FLRY;FLEURY;FLRY3;17/12/2009;60.840.055/0001-31;"(i) prestação de serviços médicos e medicina diagnóstica; (ii) consultoria. assessoria. cursos. gestão de doenças crônicas; (iii) pesquisa e desenvolvimento; (iv) a prestação de serviços a terceiros";BRADESCO
FMUE;;;;;;
FMXS;LUIZACREDCFI;;02.206.577/0001-80;;;
FNTC;;;59.461.152/0001-34;;;
FNTE;FONTENOVA;;08.906.994/0001-11;;;
FOAU;FORTBRAS AUT;;22.761.584/0001-50;;;
FOBR;FORTBRASIL S;;41.890.246/0001-63;;;
FOMS;FORNODEMINAS;;03.870.455/0005-80;;;
FORB;;;;;;
FOSP;;;;;;
FOZC;FOZ;;14.311.324/0001-55;;;
FOZG;BRKAMBGOIAS;;18.123.402/0001-49;;;
FOZM;ODEBRECHTMAC;;17.002.138/0001-22;;;
FOZS;RECIFEGOIANA;;17.119.291/0001-34;;;
FRAG;FERRARI AGRO;;54.846.951/0001-05;;;
FRAS;FRAS-LE;FRAS3;01/10/2002;88.610.126/0001-29;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;ITAU CORRETORA ACOES
FRCS;FRANCISCO SA;;29.970.323/0001-90;;;
FRIO;METALFRIO;FRIO3;13/04/2007;04.821.041/0001-08;FABRICAÇÃO E COMERCIALIAZAÇÃO DE GELADEIRAS E SIMILARES. DE MÁQUINAS DE VENDAS AUTOMÁTICAS. COMPONENTES E PEÇAS;ITAU CORRETORA ACOES
FRNQ;;;;;;
FRNS;FRANCISCO;;20.831.148/0001-85;;;
FRPR;FRAPORTBR;;27.059.460/0001-41;;;
FRRN;ALL NORTE;FRRN5B;22/06/1999;24.962.466/0001-36;"(i) construção e exploração de sistemas de transporte ferroviário de carga. rodovias e hidrovias; (ii) prestação de serviços de transporte de carga em ferrovias. rodovias e hidrovias; etc.";ITAUBANCO - ACOES
FRTB;FORTBRASIL;;02.732.968/0001-38;;;
FRTR;FARTURA AGRO;;05.427.471/0001-02;;;
FRTY;FROOTY;;68.093.095/0001-79;;;
FSAI;FSAGRO;;20.003.699/0001-50;;;
FSFT;;;;;;
FSHO;FASTSHOP S;;43.708.379/0001-00;;;
FSPR;FOSPAR;;76.204.130/0001-08;;;
FSTA;STARACFI;;17.359.351/0001-96;;;
FTOR;FATORBM;;33.644.196/0001-06;;;
FTSA;FIAC S ANTON;;25.582.727/0001-55;;;
FTSP;FOTOVOLT S P;;24.068.977/0001-09;;;
FUNE;;;;;;
FURN;FURNAS;;23.274.194/0001-19;;;
FVII;ATE VII FOZ;;08.806.925/0001-36;;;
FW15;;;;;;
FYPE;FYP;;12.980.585/0001-32;;;
FZCH;;;;;;
FZRC;FOZDORIOCLAR;;07.823.262/0001-03;Geração e comercialização de energia elétrica e participação em outras sociedades.;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA DEBENTURES
G2DI;G2D INVEST;G2DI33;;38.307.135/0001-77;Investimentos alternativos. principalmente em Venture Capital e Private Equity.;
G5HO;G5 HOLDING S;;08.720.705/0001-95;;;
GACU;;;;;;
GAFL;GAIA AGRO;;14.876.090/0001-93;;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;BNY MELLON SERVIÇOS FINANCEIROS DTVM S.A
GAGL;SOMOSENSINO;;49.323.314/0001-14;;;
GAIA;GAIA SECURIT;;07.587.384/0001-30;Aquisição. securitização. emissão. negociação e prestação de serviços relacionados à créditos imobiliários e direitos creditórios do agronegócio passíveis de securitização.;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;GAIA SECURITIZADORA S.A.
GALE;GALILEOSA;;12.997.234/0001-34;;;
GAMZ;GERAAMAZONAS;;07.469.933/0001-71;;;
GARN;GAREN;;13.246.724/0001-61;;;
GASC;ALL PAULISTA;;02.502.844/0001-66;Prestação de Seviços de transporte ferroviário de cargas e armazenagem.;Bens Industriais / Transporte / Transporte Ferroviário;ITAUBANCO - ACOES
GASM;GASMIG;;22.261.473/0001-85;Exploração dos serviços públicos de distribuição de gás canalizado. aquisição. armazenamento. transporte. transmissão. distribuição e comercialização de gás combustível ou de subprodutos e derivados.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
GASV;GASVERDE;;11.131.464/0001-53;;;
GATU;;;;;;
GAZN;GAZIN INDCOM;;77.941.490/0001-55;;;
GBRE;;;;;;
GBSP;;;;;;
GBXT;GBXTIETE;;14.184.423/0001-13;;;
GCBF;;;;;;
GCEU;CEUAZUL;;09.136.819/0001-55;;;
GCII;GAIACREDIISE;;25.116.715/0001-35;;;
GCIV;GAIACREDIVSE;;28.757.881/0001-09;;;
GCRD;GAIACREDIIIS;;26.433.778/0001-88;;;
GDMG;GDM GENETICA;;07.007.165/0001-34;;;
GDPS;;;;;;
GDSL;GDPARGDSOLAR;;34.731.244/0001-66;;;
GDSN;;;;;;
GDXB;VE GOLD ETF;GDXB39;;;;
GEAG;AGRESTE;;15.231.615/0001-04;;;
GEBV;BONSVENTOS;;19.953.139/0001-88;;;
GECR;GESTORA CRED;;28.042.871/0001-97;;;
GEEA;ALVORADA;;15.231.479/0001-44;;;
GEEJ;JARDINS;;15.231.547/0001-75;;;
GEEM;MACAMBIRAI;;15.231.588/0001-61;;;
GENT;;;;;;
GEPA;GER PARANAP;GEPA4;26/07/1999;02.998.301/0001-81;Geração e Comercialização de energia elétrica;ITAU CORRETORA ACOES
GETC;;;;;;
GFCA;GOODFOOD;;08.186.139/0001-83;;;
GFSA;GAFISA;GFSA3;26/01/2006;01.545.826/0001-07;;ITAU CORRETORA ACOES
GGBR;GERDAU;GGBR4;01/02/2001;33.611.500/0001-19;Participação e Administração;ITAU CORRETORA ACOES
GGEN;GOIAS GERADO;;26.355.027/0001-90;;;
GGPS;GPS;GGPS3;26/04/2021;09.229.201/0001-30;"Administração patrimonial de bens e interesses próprios e de suas subsidiárias e coligadas; participação em empreendimentos comerciais e industriais; participação como acionista ou sócia de sociedade";ITAU CORRETORA ACOES
GGSH;GGSH;;10.808.204/0001-07;;;
GIOS;GIOVANNIENER;;26.896.005/0001-38;;;
GIPR;;;;;;
GIVS;;;;;;
GJAI;GJAINDUSTRIA;;24.682.682/0001-28;;;
GLBO;GLOBOCOMUNIC;;27.865.757/0001-02;;;
GLFG;GLP IMIGRANT;;08.707.602/0001-95;;;
GLFV;GOLFVILLAGE;;05.730.704/0001-33;;;
GLIC;VENTOSDASERR;;14.080.223/0001-10;;;
GLPI;GLPIPARTICIP;;24.312.932/0001-38;;;
GLPO;GLP O PARTIC;;26.166.057/0001-59;;;
GLPX;GLP X PARTIC;;37.837.627/0001-01;;;
GLRP;GOLARPOWERBR;;22.980.934/0001-70;;;
GLVP;GALVAOPART;;11.284.210/0001-75;;;
GMAI;GUIMARANIA I;;24.440.015/0001-39;;;
GMAT;GRUPO MATEUS;GMAT3;13/10/2020;24.990.777/0001-09;Holdings de instituições não financeiras. participação no capital de outras sociedades. na condição de acionista. sócia ou quotista. em caráter permanente ou temporário. como controladora ou coligada.;ITAU CORRETORA ACOES
GMCB;MACAMBIRAII;;15.231.448/0001-93;;;
GMLR;GAMELEIRA GE;;38.013.764/0001-94;;;
GMRE;GMRENERGIA;;08.978.651/0001-62;;;
GMRN;GUIMARANIAII;;24.440.032/0001-76;;;
GNBR;GUANABARABM;;31.880.826/0001-16;;;
GNEC;GE CAPITALBR;;02.415.937/0001-53;;;
GNHE;GUANHAES;;08.157.460/0001-30;;;
GNLB;;;;;;
GNRL;SGFINANCEAM;;62.816.426/0001-75;;;
GOAU;GERDAU MET;GOAU4;17/05/1968;92.690.783/0001-09;Participação e Administração;ITAU CORRETORA ACOES
GOED;;;;;;
GOLL;GOL;GOLL4;24/06/2004;06.164.253/0001-87;Gestão de Participação Societária;ITAU CORRETORA ACOES
GPAR;CELGPAR;GPAR3;07/04/2008;08.560.444/0001-93;Participação em outras sociedades como acionista ou sócio-cotista e. ainda. a explotação direta ou indireta de serviços de energia elétrica.;ITAUBANCO - ACOES
GPER;;;;;;
GPIV;GP INVEST;GPIV33;;07.857.850/0001-50;Investimentos Alternativos. principalmente em Private equity;
GPPL;GUARUPART;;07.709.106/0001-08;;;
GRAI;GRANINV;;14.191.441/0001-22;;;
GRAO;AGRIBRASIL;GRAO3;21/06/2021;18.483.666/0001-03;Venda. compra. revenda e distribuição de produtos in natura de origem vegetal (cereais e grãos). a granel ou em contêineres. no/para o mercado interno e externo.;EMPRESA
GRAQ;;;;;;
GRBP;;;;;;
GRCT;ALGARTI;;05.510.654/0001-89;;;
GRDR;;;33.845.322/0001-90;;;
GREL;;;;;;
GREM;;;;;;
GRMX;GREENBRIER M;;21.042.930/0001-88;;;
GRND;GRENDENE;GRND3;29/10/2004;89.850.341/0001-60;Fabricação de calçados em geral;BRADESCO
GRNS;GRANSOL TERM;;27.314.933/0001-00;;;
GROS;;;;;;
GRPE;GREENYELLOWP;;41.813.235/0001-80;;;
GRPS;GRAAL PARTIC;;14.826.903/0001-30;;;
GRRB;GUARIROBA;;04.089.570/0001-50;A Companhia presta serviços públicos de abastecimento de água e esgotamento sanitário em toda a área territorial do município de Campo Grande. Estado do Mato Grosso do Sul.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
GRSS;GIRASSOLAGRI;;09.409.968/0001-40;;;
GSAL;GRUPO SALTA;;17.765.891/0001-70;;;
GSBR;GOLDMANSACHS;;04.332.281/0001-30;;;
GSHP;GENERALSHOPP;GSHP3;30/07/2007;08.764.621/0001-53;Administração de Shopping Centers;ITAU CORRETORA ACOES
GSII;GS INIMA IND;;31.406.860/0001-53;;;
GSPM;GSPLIFE;;13.348.737/0001-41;;;
GSPP;GSPSPE;;20.729.319/0001-60;;;
GSTE;GASTERPART;;10.512.581/0001-02;;;
GSTS;AGUASTERESIN;;27.157.474/0001-06;Serviços públicos de abastecimento de água potável e esgotamento sanitário no Município de Teresina/PI.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
GSVI;;;;;;
GTSA;GOIÁS TRANSM;;11.708.279/0001-89;;;
GUAP;SALTOGUASSUP;;08.147.946/0001-97;;;
GUAR;GUARARAPES;GUAR3;03/01/1972;08.402.943/0001-52;Confecções de roupas e tecidos em geral.;ITAU CORRETORA ACOES
GUGE;;;;;;
GUPT;GUASSUPI;;33.572.572/0001-02;;;
GVAO;VENTOS SGALV;;13.314.410/0001-59;;;
GYEH;;;;;;
GYRA;VERTGYRA;;32.770.457/0001-71;;;
GZHD;GAZINHOLDING;;04.382.592/0001-04;;;
HAGA;HAGA S/A;HAGA4;21/09/1988;30.540.991/0001-66;INDUSTRIA METALÚRGICA - FAB. DE FECHADURAS P/CONSTRUÇÃO CIVIL;BRADESCO
HALE;HALEXISTARIN;;01.571.702/0001-98;;;
HAPV;HAPVIDA;HAPV3;25/04/2018;05.197.443/0001-38;Participação. como sócia ou acionista. em outras empresas. predominantemente de assistência médica. bem como a realização de investimentos diretos e a exploração de atividades de prestação de serviços;ITAU CORRETORA ACOES
HARG;ARAGUAIA;;18.903.785/0001-78;;Bens Industriais / Transporte / Transporte Rodoviário;ITAU CORRETORA DEBENTURES
HAUS;HAUSCENTER;;56.444.250/0001-75;ALUGUEL DE IMÓVEIS;Não Classificados / Não Classificados / Não Classificado;EMPRESA
HBOR;HELBOR;HBOR3;29/10/2007;49.263.189/0001-02;Incorporação de Imoveis;BRADESCO
HBRE;HBR REALTY;HBRE3;26/01/2021;14.785.152/0001-51;"Deter patrimônio constituído por bens imóveis e direitos a eles relativos; administrar bens imóveis próprios e de terceiros; e participar. como sócia ou acionista. em outras sociedades.";BRADESCO
HBSA;HIDROVIAS;HBSA3;25/09/2020;12.648.327/0001-53;Operador de logística hidroviária para clientes de commodities agrícolas. minerais. combustíveis e derivados e carga. integrando o transporte por barcaças com operação de terminais de origem e destino;ITAU CORRETORA ACOES
HBTS;HABITASUL;HBTS5;12/11/1984;87.762.563/0001-03;"Participação em sociedades. civis ou comerciais; prestação de serviços técnicos de planejamento. organização e estruturação de empresas ou grupos empresariais.";CIA HABITASUL DE PARTICIPACOES
HCAR;HOSPITALCARE;;25.249.439/0001-83;Atividades de consultoria em gestão empresarial e serviços combinados de escritório e apoio administrativo.;Não Classificados / Não Classificado / Não Classificados;EMPRESA
HDBR;SPE;;11.573.100/0001-23;;;
HDLS;HONDAAM;;03.634.239/0001-01;;;
HECG;HELIUS CAPIT;;36.556.327/0001-91;;;
HEIN;;;;;;
HENZ;HEINZBR;;50.955.707/0001-20;;;
HERB;;;;;;
HERS;HERMES;;33.068.883/0001-20;;;
HETA;HERCULES;HETA4;01/11/1968;92.749.225/0001-63;Fabricação e a comercialização de toda a espécie de talheres e outros artigos de mesa para uso doméstico. artigos de adorno. beleza. higiene. móveis. material escolar. de escritório e profissional.;BRADESCO
HFCK;FOCKINK SA;;04.547.015/0001-25;;;
HFTE;;;;;;
HGEP;;;;;;
HGLB;HIGHLINE BRA;;27.902.165/0001-05;;;
HIAG;;;;;;
HIIN;;;;;;
HIPO;;;;;;
HITC;CHPALTOCANTI;;23.485.534/0001-50;;;
HLIO;HELIOBORENST;;52.541.307/0001-01;;;
HLIX;INFRAESTRUTU;;36.062.772/0001-03;;;
HLXI;;;;;;
HMEN;;;;;;
HMOB;HMOBI S.A;HMOB3;30/12/2021;40.159.947/0001-64;A Companhia tem como objeto social a participação em outras sociedades. como quotista ou acionista. no país ou no exterior.;ITAU CORRETORA ACOES
HMPS;;;;;;
HOCO;;;;;;
HOLC;;;60.869.336/0001-17;;;
HOOT;HOTEIS OTHON;HOOT4;01/06/1981;33.200.049/0001-47;Prestação de Serviços na Indústria Hoteleira;ITAU CORRETORA ACOES
HORT;HORTIGIL;;31.487.473/0001-99;;;
HOSK;CARVALHOHOSK;;33.342.023/0001-33;;;
HSBC;KIRTONBM;;01.701.201/0001-89;;;
HSBI;LOSANGOBM;;33.254.319/0001-00;;;
HSIV;HSINVESTIMEN;;04.114.908/0001-87;;;
HSPA;ANCHIETA;;02.560.878/0001-07;;Não Classificados / Não Classificados / Não Classificado;EMPRESA
HSPE;ESPERANCA;;02.284.062/0001-06;;;
HTLS;HTLSPPART;;14.511.613/0001-06;;;
HTTP;;;;;;
HVAN;HAVAN LOJAS;;79.379.491/0001-83;;;
HVER;;;;;;
HVRD;;;;;;
HVSP;;;;;;
HXXV;;;;;;
HYEM;VANECK EMERG;HYEM39;;;;
HYPE;HYPERA;HYPE3;18/04/2008;02.932.074/0001-91;Fabricacão de Medicamentos Alopáticos para uso humano;BRADESCO
IACO;RIOIACO;;06.990.482/0001-50;;;
IAME;BRADCARBM;;59.438.325/0001-01;;;
IATU;ICATU ASSESS;;00.905.036/0001-14;;;
IBCP;IBCEMPEPARTI;;34.355.513/0001-37;;;
IBHQ;INFRABRASIL;;34.984.919/0001-89;;;
IBIB;IBIBRASIL;;20.917.749/0001-05;;;
IBIT;BKR BITCOIN;IBIT39;;;;
IBML;IBMBM;;34.270.520/0001-36;;;
IBPB;IBIAPABA;;29.554.549/0001-00;;;
IBRH;;;;;;
ICBR;INTERCEMENT;;62.258.884/0001-36;Mineração para fabricação de cimento. fabricação e comercialização de cimento. clínquer e materiais de construção correlatos.;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
ICCI;ICATUCONSULT;;22.315.180/0001-33;;;
ICLB;;;;;;
ICTP;;;;;;
IDNO;;;10.981.488/0001-39;;;
IDRA;IDIBRA;;06.258.768/0001-46;;;
IELM;MADEIRA;;10.562.611/0001-87;;;
IFBD;;;;;;
IFBH;INFRA BR II;;30.799.177/0001-60;;;
IFCM;INFRACOMM;IFCM3;04/05/2021;38.456.921/0001-36;Soluções digitais integradas a partir de um white-label digital ecosystem para clientes liderarem suas jornadas de digitalização no go-to-market. levando uma experiência excepcional ao consumidor.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
IFPT;IFIN PARTICI;;40.593.395/0001-06;;;
IFRB;;;;;;
IFRH;;;;;;
IGRS;;;;;;
IGSN;IGUA SA;IGSN3;03/02/2014;08.159.965/0001-33;Prestação de serviços públicos de água e esgoto.;ITAU CORRETORA ACOES
IGTA;IGUATEMI;;51.218.147/0001-93;Empresa full service no setor de shopping centers. Suas atividades englobam a concepção. o planejamento. o desenvolvimento e a administração de shopping centers regionais e complexos imobiliários.;Financeiro / Exploração de Imóveis / Exploração de Imóveis;ITAU CORRETORA ACOES
IGTI;IGUATEMI S.A;IGTI11;22/11/2021;60.543.816/0001-93;Exploração comercial. adminstração e planejamento de shopping centers (Conforme Artigo 3o. do Estatuto Social);ITAU CORRETORA ACOES
IHSB;;;;;;
IIIA;;;;;;
IMAC;;;;;;
IMPA;IMPAR SERVIC;;60.884.855/0001-54;;;
IMRC;ITAMARACATRA;;29.774.606/0001-66;;;
IMUF;IRMÃOS MUFFA;;76.430.438/0001-71;;;
INBD;INBRANDS;;09.054.385/0001-44;Setor varejista de roupas.;Não Classificados / Não Classificado / Não Classificados;ITAU CORRETORA ACOES
INBH;INFRABR HOLD;;30.621.680/0001-21;;;
INBR;INTER CO;INBR32;;42.737.954/0001-21;Holding de instituições financeiras.;
INEI;;;;;;
INEL;INSPIRALI SA;;35.822.503/0001-27;"Administração de instituições de ensino de 3º e 4º graus. educação profissional; atividades de treinamento. pesquisas. consultorias e assessorias; cursos de extensão e à distância.";Outros / Outros / Outros;BRADESCO - DEBENT.
INEN;;;;;;
INEP;INEPAR;INEP4;13/12/1985;76.627.504/0001-06;Fabricação de equipamentos e sistemas elétricos . fabricação de torres e acessórios para transmissão de energia e telecomunicações. fabricação de bens de capital e sitemas industriais sob encomenda.;BRADESCO
INGL;CULTURAINGLE;;17.855.050/0001-53;;;
INHF;;;;;;
INMP;;;;;;
INNC;INC SA;INNC3;02/03/2018;09.611.768/0001-76;Incorporação de empreendimentos imobiliários e construção de edifícios;ITAU CORRETORA ACOES
INNG;;;;;;
INPS;INPASA AGRO;;29.316.596/0001-15;;;
INPT;INFRA 6 PART;;33.314.054/0001-80;;;
INSL;;;;;;
INSR;INOVA SAUDE;;20.815.868/0001-57;;;
INSU;ARCOINSURETE;;43.751.004/0001-14;;;
INSV;INOVASAUDESP;;20.815.862/0001-80;;;
INTB;INTELBRAS;INTB3;04/02/2021;82.901.000/0001-27;A Companhia tem como atividade principal a exploração da indústria de eletrônicos.;BTG PACTUAL SERVIÇOS FINANCEIROS SA DTVM
INTL;HAITONGBI;;34.111.187/0001-12;;;
INTN;JOHN DEERE;;87.963.450/0001-68;;;
INXE;;;;;;
INXU;;;;;;
IOUU;COMPANHIA SE;;40.020.431/0001-34;;;
IPIA;IPIRANGA AGR;;07.280.328/0001-58;;;
IPIL;;;;;;
IPIP;IPIRANGAPROD;;33.337.122/0001-27;;;
IPLO;;;;;;
IPLT;;;;;;
IPTO;ITAPOAPARTI;;22.636.117/0001-07;;;
IRAB;INFRAMERICA;;15.559.082/0001-86;;;
IRAP;;;;;;
IRBR;IRBBRASIL RE;IRBR3;31/07/2017;33.376.989/0001-91;Operações de resseguro e retrocessão;ITAU CORRETORA ACOES
IRCT;IRACEMA;;09.250.729/0001-90;;;
IRJS;IGUARIO;;42.353.180/0001-35;Prestação de serviços públicos de água e esgoto;Não Classificados / Não Classificado / Não Classificados;EMPRESA
IROH;IRONHOUSE;;11.501.791/0001-50;;;
IRTH;IRTHA;;75.120.279/0001-46;;;
ISAP;;;;;;
ISAV;ISAIBRASIL;;26.896.959/0001-40;;;
ISHT;;;;;;
ISLU;ISOLUXPART;;04.726.861/0001-02;;;
ISUL;RODSUL;;32.161.500/0001-00;;Não Classificados / Não Classificados / Não Classificado;BRADESCO
ISYS;;;;;;
ITAC;ITAUCARDBM;;17.192.451/0001-70;;;
ITAM;CBSSBM;;27.098.060/0001-45;;;
ITBB;BBABM;;17.298.092/0001-30;;;
ITCP;INTERCAPBM;;58.497.702/0001-02;;;
ITCT;INTERCEMENTP;;10.456.140/0001-22;;;
ITER;;;;;;
ITGT;INTEGTRANS;;07.799.081/0001-80;;;
ITMG;ITAREMAENERG;;13.234.214/0001-74;;;
ITPB;ITAPEBI;;02.397.080/0001-96;Geração de Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;ITAU CORRETORA ACOES
ITPE;AGUASDEITAPE;;06.220.197/0001-50;;;
ITPO;ITAPOA;;01.317.277/0001-05;;;
ITQR;;;;;;
ITSA;ITAUSA;ITSA4;30/06/1978;61.532.644/0001-15;Gestão de Participações Societárias (Holding);ITAU CORRETORA ACOES
ITTE;;;;;;
