codigo;nome_do_pregao;codigo_de_negociacao;cnpj;atividade_principal;classificacao_setorial;escriturador
BEUW;BKR EQUALWG;BEUW39;;;;
BEWA;MSCIAUSTRALI;BEWA39;;;;
BEWC;MSCI CANADA;BEWC39;;;;
BEWG;;BEWG39;;;;
BEWH;MSCIHONGKONG;BEWH39;;;;
BEWJ;;BEWJ39;;;;
BEWL;;BEWL39;;;;
BEWP;MSCI SPAIN;BEWP39;;;;
BEWQ;;BEWQ39;;;;
BEWT;;BEWT39;;;;
BEWU;;BEWU39;;;;
BEWW;;BEWW39;;;;
BEWY;MSCISOUTHKOR;BEWY39;;;;
BEWZ;MSCI BRAZIL;BEWZ39;;;;
BEZU;;BEZU39;;;;
BFAL;;BFAL39;;;;
BFAV;MSCIMINVOL F;BFAV39;;;;
BFBI;;BFBI39;;;;
BFCG;;BFCG39;;;;
BFDA;FT RISIDIVID;BFDA39;;;;
BFDL;FTMOR DV LEA;BFDL39;;;;
BFDN;;BFDN39;;;;
BFEM;;BFEM39;;;;
BFFT;BLUEFIT;;24.921.465/0001-43;Atividades de condicionamento físico;Não Classificados / Não Classificado / Não Classificados;EMPRESA
BFIA;BANCOFIDISBM;;62.237.425/0001-76;;;
BFIB;FIBRABM;;58.616.418/0001-08;;;
BFIW;FT WATER;BFIW39;;;;
BFLE;BIOFLEX;;13.808.130/0001-05;;;
BFLO;BKR FLOAT RT;BFLO39;;;;
BFNX;;BFNX39;;;;
BFPI;;BFPI39;;;;
BFPX;FT EQ OPPORT;BFPX39;;;;
BFRD;FORDBM;;90.731.688/0001-72;;;
BFTA;FT TECH ALPH;BFTA39;;;;
BFTC;;BFTC39;;;;
BFTG;FT GROW STRE;BFTG39;;;;
BFTS;;BFTS39;;;;
BFVD;FT VLINE DIV;BFVD39;;;;
BFXH;;BFXH39;;;;
BFXI;CHINALARGECA;BFXI39;;;;
BGCE;;;34.714.313/0001-23;;;
BGEC;CIFRABM;;62.421.979/0001-29;;;
BGEN;BINGENSEC;;16.444.103/0001-80;;;
BGIP;BANESE;BGIP4;26/08/1988;13.009.717/0001-46;;BCO ESTADO DE SERGIPE S.A. - BANESE
BGLC;BKR GLOB100;BGLC39;;;;
BGNL;;;01.852.137/0001-37;;;
BGNO;GX GENOMBIOT;BGNO39;;;;
BGOV;;BGOV39;;;;
BGOZ;;BGOZ39;;;;
BGRI;FT NSDQ GRID;BGRI39;;;;
BGRT;GLOBAL REIT;BGRT39;;;;
BGWH;COREDIVGROWT;BGWH39;;;;
BHDV;BKR CORE HDV;BHDV39;;;;
BHEF;;BHEF39;;;;
BHER;GX GAMES SPT;BHER39;;;;
BHEW;BKR CH JAPAN;BHEW39;;;;
BHEZ;;BHEZ39;;;;
BHFI;;;07.951.410/0001-67;;;
BHGR;BHGSA;;08.723.106/0001-25;;;
BHIA;CASAS BAHIA;BHIA3;09/05/1996;33.041.260/0652-90;;ITAU CORRETORA ACOES
BHSA;;;;;;
BHYC;;BHYC39;;;;
BHYG;BKR IBOXX HY;BHYG39;;;;
BHYS;;BHYS39;;;;
BIAG;;BIAG39;;;;
BIAT;BKR REGBANK;BIAT39;;;;
BIAU;GOLD TRUST;BIAU39;;;;
BIBB;ICE BIOTECH;BIBB39;;;;
BIBI;BRADESCARDBM;;04.184.779/0001-01;;;
BICB;CCBBM;;07.450.604/0001-89;;;
BICL;;BICL39;;;;
BICV;;BICV39;;;;
BIDN;BKR GENO IMM;BIDN39;;;;
BIDR;BKR SELFDRIV;BIDR39;;;;
BIDV;BKR INTL SLD;BIDV39;;;;
BIEF;COREMSCIEAFE;BIEF39;;;;
BIEI;BKR 3 7 YRTR;BIEI39;;;;
BIEM;;BIEM39;;;;
BIEO;BKR OIL GAS;BIEO39;;;;
BIET;;BIET39;;;;
BIEU;COREMSCI EUR;BIEU39;;;;
BIEV;;BIEV39;;;;
BIFB;SUISSEBI;;33.987.793/0001-33;;;
BIFR;BKR US INFRA;BIFR39;;;;
BIGE;;BIGE39;;;;
BIGF;GLOBAL INFRA;BIGF39;;;;
BIGG;;;;;;
BIGL;BKR10PLUSGC;BIGL39;;;;
BIGO;;BIGO39;;;;
BIGS;;BIGS39;;;;
BIHA;BKR CYBTECH;BIHA39;;;;
BIHE;BKR PHARMACL;BIHE39;;;;
BIHF;BKR HEALTHPR;BIHF39;;;;
BIHI;USMEDICDEVIC;BIHI39;;;;
BIJH;CORE MIDCAP;BIJH39;;;;
BIJR;;BIJR39;;;;
BIJS;BKR SPSM600V;BIJS39;;;;
BILF;LATIN AMER40;BILF39;;;;
BIOE;;;;;;
BIOM;BIOMM;BIOM3;03/02/2014;04.752.991/0001-10;Empresa brasileira com sua atividade focada no desenvolvimento e comercialização de medicamentos biotecnológicos por meio de parcerias estratégicas e fábrica própria.;ITAU CORRETORA ACOES
BION;;;08.793.343/0001-62;;;
BIOP;;;;;;
